x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest_0x28not_days0x29,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_gain_magnitude,x14_p_foraging_gain,x15_not_used_set_to_NaN,x16_horizon_correct_maximum,x17_horizon_correct_adjusted,x18_win_magnitude_high_low,x19_wait_when_safe,x20_energy_change_in_trial,x21_optimal_policy_binary,x22_optimal_policy,x23_pseudo0x2Doptimal_horizon0x2D1_binary,x24_pseudo0x2Doptimal_horizon0x2D1,x25_expected_energy_wO_boundaries,x26_logRT,x27_indifferent_optimal,empty,empty1,empty2,empty3,empty4,empty5,empty6,empty7,empty8,x37_binary_energy,x38_foraging_outcome_win,x39_foraging_outcome_loss,x40_expected_energy_w_boundaries,x41_expected_energy_change,empty9,empty10,empty11,empty12,empty13,empty14,empty15,empty16,empty17,empty18,empty19,x53_fatal_foraging_possible,x54_oneIfNrg1_else_pGain,x55_oneIfNrg1_else_EVenergy,x56_rule0x26PGain3WWS,x57_weather_1_gain_magnitude,x58_weather_2_gain_magnitude,x59_weather_1_p_gain,x60_weather_2_p_gain,weather_dynamic,p_delta,p_delta_dynamic,BNW_conditions,p_delta_BNW_conditions_fit,p_delta_BNW_conditions_uncertain,p_delta_BNW_conditions_uncertain_fit
327,1,1,728,1,3,1,1,25.0,1388,0,2,1,0.1,,4,4,2,0,0,0,-0.030375,2,0.0,-1.7,7.23561914106675,0,0,0,0,0,0,0,0,0,0,0,4,1,1.3,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.7,0.1,1,3,0.1,0.4,0.0,-0.30000000000000004,-0.30000000000000004,0.5,0.31731077492838344,0.24086804575417267,7.105907670090727
327,1,2,728,2,2,1,1,,2000,0,1,1,0.1,,4,3,2,0,-1,0,-0.15,0,-0.9,-1.7,7.60090245954208,0,0,0,0,0,0,0,0,0,0,0,3,0,0.3,-1.7,0,0,0,0,0,0,0,0,0,0,0,1,0.1,-1.7,0.1,1,3,0.1,0.4,0.0,-0.30000000000000004,-0.30000000000000004,0.5,,,
327,1,3,728,3,1,1,1,,2000,0,0,1,0.1,,4,2,2,0,-1,1,0.1,1,0.1,-1.7,7.60090245954208,0,0,0,0,0,0,0,0,0,0,1,2,0,0.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1,3,0.1,0.4,1.0,-0.30000000000000004,0.1,1.0,,,
327,1,4,728,4,0,0,0,25.0,727,0,0,0,3.0,,4,1,2,0,-1,0,0.0,0,0.0,4.0,6.58892647753352,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,1,3,0.1,0.4,-1.0,2.9,2.9,0.5,,,
327,1,5,863,1,3,1,2,2.0,1426,0,2,1,0.2,,3,3,1,0,0,1,0.0549999999999999,2,0.0,-1.4,7.26262860097424,0,0,0,0,0,0,0,0,0,0,0,4,1,1.6,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1.4,0.2,1,3,0.2,0.5,0.0,-0.3,-0.3,0.5,0.3173107749283835,0.2408680457541727,7.105907670090727
327,1,6,863,2,2,2,1,25.0,937,0,1,3,0.5,,3,2,1,0,-1,1,0.15,0,-0.5,0.5,6.84268328223842,0,0,0,0,0,0,0,0,0,0,0,5,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,3,0.2,0.5,1.0,0.3,0.3,0.5,0.9380984926400273,0.2109433004074592,6.950180268193171
327,1,7,863,3,1,1,2,,2000,0,0,1,0.2,,3,1,1,0,-1,1,0.2,1,0.2,-1.4,7.60090245954208,0,0,0,0,0,0,0,0,0,0,1,2,0,0.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1,3,0.2,0.5,1.0,-0.3,0.2,1.0,,,
327,1,8,721,1,3,1,1,25.0,1443,0,2,0,0.1,,3,3,2,0,-1,0,-0.16875,2,0.0,-1.8,7.27447955877387,0,0,0,0,0,0,0,0,0,0,0,3,1,1.2,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.8,0.1,0,0,0.1,0.4,0.0,-0.30000000000000004,-0.30000000000000004,0.5,0.31731077492838344,0.24086804575417267,7.105907670090727
327,1,9,721,2,2,1,1,2.0,1683,1,0,0,0.1,,3,2,2,0,-1,0,-0.15,0,-0.9,-1.8,7.42833319419081,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,-1.8,0,0,0,0,0,0,0,0,0,0,0,1,0.1,-1.8,0.1,0,0,0.1,0.4,0.0,-0.30000000000000004,-0.30000000000000004,0.5,0.31731077492838344,0.24086804575417267,7.105907670090727
327,1,10,721,3,0,0,0,25.0,1207,0,0,0,0.0,,3,1,2,0,-2,0,0.0,0,0.0,-2.0,7.09589322109753,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0.1,0.4,-1.0,-0.1,-0.1,0.5,,,
