x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest_0x28not_days0x29,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_gain_magnitude,x14_p_foraging_gain,x15_not_used_set_to_NaN,x16_horizon_correct_maximum,x17_horizon_correct_adjusted,x18_win_magnitude_high_low,x19_wait_when_safe,x20_energy_change_in_trial,x21_optimal_policy_binary,x22_optimal_policy,x23_pseudo0x2Doptimal_horizon0x2D1_binary,x24_pseudo0x2Doptimal_horizon0x2D1,x25_expected_energy_wO_boundaries,x26_logRT,x27_indifferent_optimal,empty,empty1,empty2,empty3,empty4,empty5,empty6,empty7,empty8,x37_binary_energy,x38_foraging_outcome_win,x39_foraging_outcome_loss,x40_expected_energy_w_boundaries,x41_expected_energy_change,empty9,empty10,empty11,empty12,empty13,empty14,empty15,empty16,empty17,empty18,empty19,x53_fatal_foraging_possible,x54_oneIfNrg1_else_pGain,x55_oneIfNrg1_else_EVenergy,x56_rule0x26PGain3WWS,x57_weather_1_gain_magnitude,x58_weather_2_gain_magnitude,x59_weather_1_p_gain,x60_weather_2_p_gain,weather_dynamic,p_delta,p_delta_dynamic,BNW_conditions,p_delta_BNW_conditions_fit,p_delta_BNW_conditions_uncertain,p_delta_BNW_conditions_uncertain_fit
328,1,1,1164,1,3,2,1,2.0,842,1,5,4,0.7,,3,3,1,0,0,1,0.23,2,0.0,2.2,6.73578001424233,0,0,0,0,0,0,0,0,0,0,0,5,1,3.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.7,1,4,0.5,0.7,1.0,0.19999999999999996,0.19999999999999996,0.5,0.8397567043929024,0.21701711716539085,6.774806437531346
328,1,2,1164,2,5,2,2,25.0,617,1,5,4,0.7,,3,2,1,1,2,2,0.0,2,0.0,2.2,6.42486902390539,1,0,0,0,0,0,0,0,0,0,0,5,3,4.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.7,-0.6,0.0,1,4,0.5,0.7,0.0,0.19999999999999996,-0.30000000000000004,0.0,0.698667323411807,0.2353019458507036,6.9058366634165465
328,1,3,1164,3,5,2,2,25.0,698,1,5,4,0.7,,3,1,1,1,0,2,0.0,2,0.0,2.2,6.54821910276237,1,0,0,0,0,0,0,0,0,0,0,5,3,4.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.7,-0.6,0.0,1,4,0.5,0.7,0.0,0.19999999999999996,-0.30000000000000004,0.0,0.698667323411807,0.2353019458507036,6.9058366634165465
328,1,4,74,1,2,1,2,25.0,1422,1,0,3,0.1,,5,5,1,0,0,0,-0.2,0,-0.9,-1.5,7.25981961036319,0,0,0,0,0,0,0,0,0,0,0,5,0,0.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,1,0.1,-1.5,0.1,3,4,0.1,0.5,0.0,-0.4,-0.4,0.5,0.40685862286834945,0.24400705910446963,6.968218049407514
328,1,5,74,2,0,0,0,25.0,622,0,0,0,4.0,,5,4,1,0,-2,0,0.0,0,0.0,6.0,6.43294009273918,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,4.0,3,4,0.1,0.5,-1.0,3.9,3.9,0.5,,,
328,1,6,74,3,0,0,0,25.0,632,0,0,0,4.0,,5,3,1,0,0,0,0.0,0,0.0,6.0,6.44888939414686,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,4.0,3,4,0.1,0.5,-1.0,3.9,3.9,0.5,,,
328,1,7,74,4,0,0,0,25.0,471,0,0,0,4.0,,5,2,1,0,0,0,0.0,0,0.0,6.0,6.15485809401642,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,4.0,3,4,0.1,0.5,-1.0,3.9,3.9,0.5,,,
328,1,8,74,5,0,0,0,25.0,663,0,0,0,4.0,,5,1,1,0,0,0,0.0,0,0.0,6.0,6.49677499018586,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,4.0,3,4,0.1,0.5,-1.0,3.9,3.9,0.5,,,
328,1,9,843,1,3,2,1,2.0,1374,1,5,2,0.4,,3,3,1,0,0,1,0.188,2,0.0,-0.4,7.22548147278229,0,0,0,0,0,0,0,0,0,0,0,5,1,2.6,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.4,0.4,0,2,0.2,0.4,1.0,0.2,0.2,0.5,0.8397567043929025,0.21701711716539085,6.774806437531346
328,1,10,843,2,5,1,2,2.0,1485,0,4,0,0.2,,3,2,1,1,2,2,0.0,2,0.0,-1.6,7.3031700512368,1,0,0,0,0,0,0,0,0,0,0,5,3,3.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1.6,0.0,0,2,0.2,0.4,0.0,-0.2,-0.8,0.0,0.41006860239543846,0.24762763746062127,6.994163340337293
328,1,11,843,3,4,2,1,2.0,1583,1,2,2,0.4,,3,1,1,1,-1,2,0.0,2,0.0,-0.4,7.36707705988101,1,0,0,0,0,0,0,0,0,0,0,5,2,3.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.8,0.0,0,2,0.2,0.4,0.0,0.2,-0.6,0.0,0.6986673234118072,0.2353019458507036,6.9058366634165465
328,1,12,68,1,2,1,2,2.0,1745,0,1,1,0.1,,4,4,1,0,-2,0,-0.2175,0,-0.9,-1.7,7.46450983463653,0,0,0,0,0,0,0,0,0,0,0,3,0,0.3,-1.7,0,0,0,0,0,0,0,0,0,0,0,1,0.1,-1.7,0.1,1,3,0.1,0.5,0.0,-0.4,-0.4,0.5,0.40685862286834945,0.24400705910446963,6.968218049407514
328,1,13,68,2,1,2,2,25.0,695,1,0,3,0.5,,4,3,1,0,-1,1,0.5,1,0.5,0.5,6.54391184556479,0,0,0,0,0,0,0,0,0,0,1,4,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1,3,0.1,0.5,1.0,0.4,0.5,1.0,1.1251454458821821,0.18006393707121562,6.509997637938623
328,1,14,68,3,0,0,0,25.0,385,0,0,0,3.0,,4,2,1,0,-1,0,0.0,0,0.0,4.0,5.95324333428778,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,1,3,0.1,0.5,-1.0,2.9,2.9,0.5,,,
328,1,15,68,4,0,0,0,25.0,691,0,0,0,3.0,,4,1,1,0,0,0,0.0,0,0.0,4.0,6.53813982376767,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,1,3,0.1,0.5,-1.0,2.9,2.9,0.5,,,
328,1,16,1241,1,3,2,1,2.0,1241,1,1,3,0.8,,5,5,1,0,0,1,0.1846,2,0.0,2.0,7.12367278520461,0,0,0,0,0,0,0,0,0,0,0,5,1,4.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.2,0.8,2,3,0.6,0.8,1.0,0.20000000000000007,0.20000000000000007,0.5,0.8397567043929025,0.21701711716539085,6.774806437531346
328,1,17,1241,2,1,1,2,25.0,921,1,3,2,0.6,,5,4,1,0,-2,1,0.546,1,0.6,0.4,6.82546003625531,0,0,0,0,0,0,0,0,0,0,1,3,0,1.8,0.8,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,2,3,0.6,0.8,1.0,-0.20000000000000007,0.6,1.0,0.6922473643576291,0.2195784428318192,6.793161057441307
