x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest_0x28not_days0x29,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_gain_magnitude,x14_p_foraging_gain,x15_not_used_set_to_NaN,x16_horizon_correct_maximum,x17_horizon_correct_adjusted,x18_win_magnitude_high_low,x19_wait_when_safe,x20_energy_change_in_trial,x21_optimal_policy_binary,x22_optimal_policy,x23_pseudo0x2Doptimal_horizon0x2D1_binary,x24_pseudo0x2Doptimal_horizon0x2D1,x25_expected_energy_wO_boundaries,x26_logRT,x27_indifferent_optimal,empty,empty1,empty2,empty3,empty4,empty5,empty6,empty7,empty8,x37_binary_energy,x38_foraging_outcome_win,x39_foraging_outcome_loss,x40_expected_energy_w_boundaries,x41_expected_energy_change,empty9,empty10,empty11,empty12,empty13,empty14,empty15,empty16,empty17,empty18,empty19,x53_fatal_foraging_possible,x54_oneIfNrg1_else_pGain,x55_oneIfNrg1_else_EVenergy,x56_rule0x26PGain3WWS,x57_weather_1_gain_magnitude,x58_weather_2_gain_magnitude,x59_weather_1_p_gain,x60_weather_2_p_gain
334,1,1,1164,1,3,2,2,25,1183,1,1,4,0.7,NaN,3,3,1,0,0,1,0.23,2,0,2.2,7.07580886397839,0,0,0,0,0,0,0,0,0,0,0,5,1,3.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.7,1,4,0.5,0.7
334,1,2,1164,2,1,2,2,2,1048,0,0,4,0.7,NaN,3,2,1,0,-2,1,0.7,1,0.7,2.2,6.95463886488099,0,0,0,0,0,0,0,0,0,0,1,5,0,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0.5,0.7
334,1,3,1164,3,0,0,0,25,1156,0,0,0,4,NaN,3,1,1,0,-1,0,0,0,0,6,7.05272104923232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,1,4,0.5,0.7
334,1,4,74,1,2,1,2,2,1649,0,1,3,0.1,NaN,5,5,1,0,0,0,-0.2,0,-0.9,-1.5,7.4079243225596,0,0,0,0,0,0,0,0,0,0,0,5,0,0.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,1,0.1,-1.5,0.1,3,4,0.1,0.5
334,1,5,74,2,1,1,2,2,1135,0,0,3,0.1,NaN,5,4,1,0,-1,1,0.1,1,0.1,-1.5,7.0343879299155,0,0,0,0,0,0,0,0,0,0,1,4,0,0.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,0.1,0.5
334,1,6,74,3,0,0,0,25,1024,0,0,0,4,NaN,5,3,1,0,-1,0,0,0,0,6,6.93147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,3,4,0.1,0.5
334,1,7,74,4,0,0,0,2,1148,0,0,0,4,NaN,5,2,1,0,0,0,0,0,0,6,7.04577657687951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,3,4,0.1,0.5
334,1,8,74,5,0,0,0,25,628,0,0,0,4,NaN,5,1,1,0,0,0,0,0,0,6,6.4425401664682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,3,4,0.1,0.5
334,1,9,843,1,3,1,1,25,1379,0,2,0,0.2,NaN,3,3,1,0,0,1,0.0339999999999998,2,0,-1.6,7.2291138777933,0,0,0,0,0,0,0,0,0,0,0,3,1,1.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1.6,0.2,0,2,0.2,0.4
334,1,10,843,2,2,1,1,2,731,1,0,0,0.2,NaN,3,2,1,0,-1,0,-0.1,0,-0.8,-1.6,6.59441345974978,0,0,0,0,0,0,0,0,0,0,0,2,0,0.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,1,0.2,-1.6,0.2,0,2,0.2,0.4
